0,1,2,sentence,target
-0.11891238,0.03138358,0.017608967,ваза 21213 замена подшипник ступица нива,0
3.910442,0.01466306,-0.06609137,ваза 2107 оптом сочи сравнить цена купить потребительский товар,0
1.5538119,0.021333834,-0.0266903,купить ступица лада калина2 трансмиссия переходный ступица цена замена тюнинг,0
-7.069894,-0.0047838227,0.022410491,классика 21010 21074,0
-0.22675341,0.07226952,0.03163186,ступица нива замена подшипник свой рука,0
-5.957151,0.00403739,0.004634412,ваза 2110,0
0.64546436,0.035054497,0.05445156,обзор подшипник полуось ваза 2101 07 2121 2123,0
-1.9493719,-0.017941015,0.008139509,купить подшипник ступица fag страница 23,0
4.924266,-0.008095648,0.027024243,horsepowers автомобильный интернет портал отзыв владелец ваза 2121 нива 2007 год,0
-0.3274372,-0.046299618,0.0007766518,новость сообщение официальный группа вконтакте торговый компания 33 sport магазин тольятти,0
-2.2633598,0.0036560749,0.016029133,инструкция замена подшипник передний ступица ивеко дейли,0
-5.7030473,-0.013157009,0.013420476,ступица olx страница 80,0
-1.741779,-0.012182526,0.00083774014,маааленький проблёмкий бортжурнал автокам 2160 1994 год drive2,0
-5.5322804,-0.031703718,-0.014130421,разгрузить полуось нива 24 шлиц 765,0
-5.9056644,-0.00615698,-0.023294147,прошивка нива 9 7 скачать файлообменник,0
-4.1575933,-0.040896475,0.018585682,страница 6 раздел каталог подвеска,0
-4.142368,0.0065397634,-0.013450057,продать нива 2121,0
-8.046417,-0.023115382,-0.003287468,рекомендация проведение независимый экспертиза осаго,0
2.608994,-0.033747554,-0.0741115,втулка подшипник омск сравнить цена поставщик промышленный товар,0
-5.549847,0.0033893734,0.006249212,шеврол блейзер елабуга руководство эксплуатация инструкция совет,0
-1.8000182,-0.017734775,0.017487984,привод шрусый пыльник шрусый страница 3,0
10.944159,-0.104101986,0.02705593,автомобиль маз калининград интернет магазин компания стоимость каталог купить автомобиль маз цена сайт propartner,0
6.7074766,0.019202366,-0.06849428,ваза 2103 украина сравнить цена купить потребительский товар prom страница 86,0
7.519352,-0.04104185,-0.029667199,купить подшипник цена 1 000 рубль киров магазин город страница 5,0
-1.2423863,0.0010911055,-0.017821668,купить запчасть ваза воронеж доска объявление камелот,0
-5.0959525,-0.0049659126,0.0061623524,опора передний амортизатор выбрать подвеска,0
-4.0342774,0.006469803,-0.0017961557,подшипник лада ваза красноярск,0
-3.9088821,-0.018760536,-0.0051733213,автозапчасть тендер торг закупка национальный тендерный портал,0
1.1913173,0.03977816,0.02093209,замена регулировка передний ступичный подшипник нива нива ремонт,1
-2.1517096,0.021118654,0.008906271,разборка передний тормозной механизм ваза 21213 нива,0
-0.020129928,0.00026856406,-0.016947014,весь коробка передача бортжурнал fiat albea алька 2008 год drive2,0
9.472698,0.044225328,-0.04417804,продажа ваза нива 2121 2011 год курган продать lada 4x4 нива отличный технический состояние обмен дорогой равноценный дешёвый 4wd,0
-5.8601065,0.015290568,0.00583948,ваза 2108,0
-4.8411045,-0.04818059,0.016274208,интернет магазин ооо автокомпас,0
1.7867601,0.050670795,0.012787535,заменить подшипник ступица передний колесо ваза 2121,1
-6.624244,-0.014633703,0.0029424157,развал ступица яплакалъ,0
-7.025865,-0.023790842,-0.0010898004,нужный помощь подвеска,0
3.0703561,0.015763361,0.03944028,запчасть ваза газ заза москвич авто мото литература газ волга,0
1.5813471,0.033938166,0.018770449,снятие установка подшипник ступица нива 2121 нива 2131,1
-5.9659786,0.011730306,0.0052238973,ваза 2104,0
2.8123837,-0.074468255,0.018278573,подшипник olimac drago dr7080 6307 2rs цена 1 грн доставка полтавский область,0
-0.6276176,0.023332493,0.019338163,снять ступица ваза 2121 нива youtube,1
0.9218588,0.038316682,0.012852968,замена подшипник ступица ваза 21213 21214 нива,0
2.9325018,0.009406534,-0.017426101,uaz patriot брать брать faq форум клуб patriot 4x4,0
-3.8235974,-0.048928995,0.012256332,каталог запчасть интернет,0
-1.4040774,-0.001225422,-0.007579034,опрос помочь выбрать заза chance vortex estina kia spectra страница 10 форум,0
7.2037005,0.024057237,-0.06665258,вал привод ваза 2121 нива харьков сравнить цена купить потребительский товар,0
5.286454,0.09016572,-0.036941387,лада нива 2121 1997 новокузнецк двигатель кап ремонт 6000км 4wd коробка механический бензин,0
-8.444904,-0.033911977,-0.0035693918,stoll джи штоль,0
4.673247,-0.018751612,0.04660408,сборка поворотный кулак ступица нива 2121 2123 автомобиль автомобильный хозяйство автосервис чертёж масштаб,0
-5.093763,-0.0030846037,0.0028983213,техношина подшипник новокузнецк,0
-5.4339476,-0.004638761,0.00266771,автозапчасть ваза олмитя сервис,0
16.765482,-0.15121152,0.061124332,ступица купить винницкий область интернет магазин низкий цена большой каталог быстрый доставка ступица фото отзыв,0
7.2281914,0.018838212,-0.083068065,купить лада 4x4 2121 нива 2010 новый уренгой полный шумоизоляция электро котёл подножка усиленный прицепной устройство бензин бордовый пробег 76000,0
-9.124603,-0.019329801,-0.0012629195,autotechnik,0
-3.6925738,-0.009727377,0.012791837,снятие задний ступичный подшипник,0
-2.62514,0.0052854256,0.010676088,весь изображение ступица ваза 2106 сбор,0
-3.2950292,-0.03375158,0.023542661,блог автомобильный клуб кулибинск клуб,0
6.1115575,-0.03236118,0.005021595,купить подшипник ступица газель next передний цена 3 061 35 арт а21r23 3103145 интернет магазин новосибирск,0
-2.1032233,0.003466914,0.013504171,смазать ступичный подшипник нива шеврол видео avtoservis sobol,0
-3.268582,-0.022187598,0.003503074,средство уход автомобиль купить скидка кострома,0
-0.7505488,-0.023911932,-0.0072036204,купить подшипник 180314 6314 2rs полтава цена 201 34 грн,0
-7.9262276,-0.0110953,-0.0035955708,двигатель,0
-1.7858809,0.0017291615,0.015258807,поменять подшипник ступица нива шеврол видео,1
12.189748,-0.016395472,0.07302029,подшипник маховик газ 3110 3302 406 cummins мета крышка 6203 кпк газ деталь машина пятигорск каталог автозапчасть газ ваза уаз lada деталь,0
-0.04561508,-0.009365806,-0.009435513,нива подшипник ступица 21213103020 купить нижний новгород,0
27.124716,-0.22016765,0.11855888,подшипник автомобиль спецтехник vbf купить украина интернет магазин низкий цена большой каталог быстрый доставка подшипник автомобиль спецтехник vbf фото отзыв,0
-1.4108055,-0.027151566,0.0067159687,ниваклуб новосибирск просмотр тема подготовка машина зима,0
6.6204104,0.00737334,-0.0942308,нива 2121 тольятти сравнить цена купить потребительский товар tiu страница 13,0
7.362573,-0.021330018,0.07402313,задний ступица n16 2000г nissan almera n16 mdash nissan almera клуб нисан альмер,0
-8.095882,-0.018942326,-0.0013017193,чертёж,0
4.9581995,0.25141957,0.05014149,ремонт ваза 2131 свой рука ремонт ваза свой рука,0
-7.5099573,-0.014499152,-0.00069922674,глухой периодичный стук справа,0
3.675973,0.058500618,0.039140694,ваза 2121 страница 5 форум клуб ваза 2104,0
4.6121483,-0.013024263,-0.09150334,ступица нижний тагил сравнить цена купить потребительский товар tiu страница 4,0
9.3627405,0.224462,0.07573565,замена воздушный фильтр ваза 2108 2109 21099 видео ремонт авто свой рука видео руководство ремонт,0
4.504556,-0.0049076434,0.008509792,колпачок ступица ваза 2110 2170 компания z24 купить санкт петербург,0
5.777041,-0.008461308,0.025971169,подшипник ступица ваза 2101 kraft компания z24 купить санкт петербург,0
-7.510984,-0.015123419,-0.0011457388,подшипник mannol,0
0.33018917,0.0073366147,0.011756481,заменить передний ступичный подшипник нива шеврол нива,0
10.2357435,0.07413178,-0.095212705,купить мкппа ваза лада сочи сравнить цена мкппа ваза лада сочи портал blizko,0
-7.03265,-0.024796473,0.010045702,renault symbol ваш мнение форум,0
-2.512418,0.021089219,0.0006628228,простой разборка ступица нива ремонт,1
5.718417,0.0027651368,-0.10087071,потребительский товар ваза 2106 беларусь сравнить цена купить потребительский товар,0
-0.7981781,0.02369672,0.018438928,замена подшипник передний ступица нива 21213,1
-4.481367,-0.012141412,-0.0071833525,www pajero4x4 просмотр тема безрезультатный сход развал,0
-0.8394133,-0.048707325,-0.0043255277,колхоз давать делиться колхозил p10 nissan primera p10 вконтакте,0
-4.282931,-0.014192157,-0.015752828,страница 103 автокомпектовать запчасть прочее,0
7.472794,-0.0059198537,-0.07435943,подшипник полуось украина сравнить цена купить потребительский товар prom страница 3,0
12.6890745,0.038592108,-0.070141025,купить lada ваза 2121 4x4 пробег омск 2001 год цена 130 000 рубль авто,0
4.3484097,-0.056206405,-0.111237995,промышленный оптовый товар крестовина омск сравнить цена поставщик промышленный товар,0
-6.456464,0.0152433785,0.0014163409,ваза 2111,0
-3.7283795,-0.0300454,0.017088281,техношина автозапчасть отечественный автомобиль,0
4.8006215,0.011027902,0.0035556396,колесо зубчатый раздаточный коробка ваза 2121 чертёж 74 список деталь стоимость запчасть,0
-7.1645317,-0.014058034,0.007654573,подшипник 6306 youtube,0
-3.4637842,-0.068626,0.010400971,innovate 3740 сетевой адаптер прикуриватель 1 интернет магазин,0
2.3755953,-0.037638046,-0.021038149,объявление дзержинск главный портал город дзержинск нижегородский область,0
-3.4540815,0.0154426405,0.023874998,замена ремень цепь грм автомобиль смотреть видео,0
-0.6469762,0.036146186,0.017991878,ваза 2121 замена подшипник ступица,1
-7.9502616,-0.020253057,0.013620812,малолитражка характер вездеход моделист конструктор,0
6.5123925,0.2491059,0.06216773,ваза 2112 ремонт свой рука передний мост ремонт ваза свой рука,0
-6.4762616,-0.0009774124,-0.002483652,пежо 308 замена датчик давление масло,0
